Id,NewsTitle,MatchedWords,Score,Polarity
59,"KIRSCHNER KMDC COMPLETES PURCHASE",,0,Neutral
60,"US SENATORS SEEK TO EXPAND USDA EXPORT BONUS",bonus,1,Positive
61,"FEDS JOHNSON SAYS FED ACTED TO STABILIZE DOLLAR",stabilize,1,Positive
62,"XOMA XOMA FILES FOR PUBLIC OFFERING",,0,Neutral
63,"REPUBLIC AMERICAN RAWC PLANS EXCHANGE OFFER",,0,Neutral
64,"MARYLAND NATIONAL MDNT SEES NEW NAME",,0,Neutral
65,"VENEZUELA TO ANNOUCE PARTNER FOR COAL VENTURE",,0,Neutral
66,"GOTTSCHALKS INC GOT 4TH QTR NET",,0,Neutral
67,"BORGWARNER SAYS IT DISCUSSED POSSIBLE TAKEOVER WITH IRWIN JACOBS",,0,Neutral
68,"CYCLOPS CORP SAYS CYACQS AMENDED OFFER RESTATES ORIGINAL CONDITIONS",,0,Neutral
69,"US SUGAR QUOTA MAY BE EASED CONGRESSMAN SAYS",eased,1,Positive
70,"MOBIL MOB UNIT NAMES GROUP PRESIDENT",,0,Neutral
71,"SONY SNE TO SHIP SAMPLE OPTICAL DISKS",,0,Neutral
72,"CALIFORNIA MICROWAVE CMIC TAKES 3RD QTR CHARGE",,0,Neutral
73,"CRS SIRRINE PLANS MAJOR RESTRUCTURING WRITE OFF OF UP 43 MLN DLRS",restructuring,1,Positive
74,"HF AHMANSON AND CO AHM QTLY DIVIDEND",,0,Neutral
75,"BORGWARNER BOR TELLS OF TALKS WITH JACOBS",,0,Neutral
76,"CANADA VOWS TO FIGHT US POTASH ACTION",,0,Neutral
77,"TRINTOC UNION CARBIDE TO BUILD METHANOL PLANT",,0,Neutral
78,"ORMAND INDUSTRIES OMD UNIT TO REPAY DEBT",debt,-1,Negative
79,"VOLCKER CALLS DOLLAR SLIDE ENOUGH",enough,1,Positive
80,"NASDAQ MARCH SHORT INTEREST WAS 1849 MLN SHRS VS 2157 MLN SHARES IN FEBRUARY",,0,Neutral
81,"RB INDUSTRIES RBI COMPLETES STORE SALES",,0,Neutral
82,"TRAVELERS TIC UNIT SELLS MORTGAGE CERTIFICATES",,0,Neutral
83,"NASDAQ SHORT INTEREST IN MARCH FALLS",falls,-1,Negative
84,"GOLDMAN SACHS SELLS SIGNET SBK UNIT NOTES",,0,Neutral
85,"NMS PHARMACEUTICAL NMSI SETS NEW BLOOD TEST",,0,Neutral
86,"AMERICAN CAN AC SELLS CONVERTIBLE EUROBONDS",,0,Neutral
87,"GENCORP GY TAKEOVER GROUP CANCELS HEARING",,0,Neutral
88,"GENCORP GY FIXES RIGHTS SEPARATION DATE",,0,Neutral
89,"CANADA ENERGY MINISTER TO MAKE STATEMENT",,0,Neutral
90,"AMERICAN INTERNATIONAL AIG SELLS AFRICAN UNIT",,0,Neutral
91,"OXFORD INDUSTRIES INC OXM 3RD QTR FEB 27",,0,Neutral
92,"UNION TAKES AMERICAN AIRLINES TO COURT",,0,Neutral
93,"PORTUGAL MAY HAVE PURCHASED US CORN",,0,Neutral
94,"TAIWAN TENDERING THURSDAY FOR US CORN",,0,Neutral
95,"SRI LANKA TENDERING OVERNIGHT FOR WHEAT",,0,Neutral
96,"BRAZIL ANNOUNCES NEW PLANNING MINISTER",,0,Neutral
97,"DIGIGRAPHIC SYSTEMS CORP 4TH QTR OPER LOSS",loss,-1,Negative
98,"BAYOU BYOU IN DEFINITIE MERGER AGREEMENT",agreement,1,Positive
99,"APACHE APA FILES FOR 100 MLN DLR OFFERING",,0,Neutral
100,"TRANSCONTINENTAL TGP FILES NEW OFFER",,0,Neutral
101,"COMPUTER IDENTICS CORP CIDN 4TH QTR",,0,Neutral
102,"FLEET TO ACQUIRE ASSETS OF MARK IV IV UNIT",,0,Neutral
103,"MIKRON INSTRUMENT CO MIKR 1ST QTR JAN 31",,0,Neutral
104,"GOLDEN NORTH HAS ENCOURAGING DRILL RESULTS","encouraging, golden",2,Positive
105,"UNISYS UIS GETS ORDER FROM SWEDEN",,0,Neutral
106,"HAWKEYE HWKB ISSUES PREFERENCE STOCK",issues,-1,Negative
107,"AUSTN FEB ANNUAL M3 MONEY SUPPLY RISES 112 PCT",,0,Neutral
108,"PS GROUP PSG USAIR U MOVE UP DEADLINE",,0,Neutral
109,"TANDON TCOR SAYS SEARS S STILL CUSTOMER",,0,Neutral
110,"MERGERS PUBLIC OFFERS SEEN AMONG CAR DEALERS",,0,Neutral
111,"COMPREHENSIVE CARE CORP CMPH 3RD QTR NET",comprehensive,1,Positive
112,"CHAPMAN CHPN IN RESTRUCTURING",restructuring,1,Positive
113,"VESTAR INC VSTR YEAR LOSS",loss,-1,Negative
114,"UNIVATION INC UNIV EXPANDS EUROPE DISTRIBUTION",,0,Neutral
115,"STERLING BANCORP YEAR NET",,0,Neutral
116,"FIRST NEW HAMPSHIRE BANKS INC DIV",,0,Neutral
117,"HOUSE OF FABRICS HF QUARTERLY DIVIDEND",,0,Neutral
118,"Bank of Japan bought 200 to 300 mln dlrs this morning dealers said",,0,Neutral
119,"MIAMIBrazil and bank advisory committee agree to 60day extension on credit lines",,0,Neutral
120,"JAPAN BUYS MODEST AMOUNT OF DOLLARS DEALERS SAY",modest,1,Positive
121,"MiamiBrazil says it expects to make no interest payments before March 31",,0,Neutral
122,"CORRECTEDMIAMIBrazil bank committee will transmit request for 60day credit extension",,0,Neutral
123,"BRAZILBANK COMMITTEE AGREE ON CREDIT REQUEST",,0,Neutral
124,"JAPANS 198687 SUGAR CANE OUTPUT SEEN FALLING",falling,-1,Negative
125,"INDIAN ROCKET LAUNCH FAILS",fails,-1,Negative
126,"AUSTRALIAS OPPOSITION PARTY GAINING POPULARITY","gaining, opposition",0,Neutral
127,"WEEKS PETROLEUM LTD WPMAMEL CALENDAR 1986",,0,Neutral
128,"Bank of Japan keeps intervening to hold dollar above 149 yen brokers",,0,Neutral
129,"JAPAN INTERVENING TO KEEP DOLLAR UP BROKERS",,0,Neutral
130,"BELL GROUP ISSUING 200 MLN IN CONVERTIBLE BONDS",,0,Neutral
131,"Current exchange rates almost within levels agreed by major nations  Sumita",,0,Neutral
132,"Sumita says major nations cooperated to stabilise currencies",,0,Neutral
133,"THAILANDS FOREIGN RESERVES FALL IN FEBRUARY",fall,-1,Negative
134,"EXCHANGE RATES ALMOST WITHIN G6 LEVELS  SUMITA",,0,Neutral
135,"NZ TRADE SURPLUS 1191 MLN DLRS IN FEBRUARY",,0,Neutral
136,"MATSUSHITA TO ISSUE 200 BILLION YEN CONVERTIBLE",issue,-1,Negative
137,"Sumita says Bank of Japan has no intention of lowering its discount rate",,0,Neutral
138,"JAPAN DOES NOT INTEND TO CUT DISCOUNT RATESUMITA",,0,Neutral
139,"JARDINE MATHESON PROFITS SEEN UP SHARPLY IN 1986",sharply,-1,Negative
140,"HU YAOBANG APPEARS AT CHINA PARLIAMENTARY SESSION",,0,Neutral
141,"FOREIGN BROKERS GET MORE ACCESS TO JAPANESE BONDS",,0,Neutral
142,"CHINAS FIRST JOINT VENTURE BANK REPORTS PROFIT",,0,Neutral
143,"BANGLADESHS PAYMENTS DEFICIT NARROWS IN OCTOBER",,0,Neutral
144,"PEKING FACES WATER RATIONING",,0,Neutral
145,"USCHINA CIGARETTE FILTER JOINT VENTURE SET UP",,0,Neutral
146,"TWO JAPANESE STEELMAKERS TO CUT CAPITAL SPENDING",,0,Neutral
147,"NISSAN AFFILIATE TO ACQUIRE US AUTOPARTS MAKER",,0,Neutral
148,"DUTCH STATE LAUNCHES NEW EIGHT YEAR BULLET AT 614 PCT  OFFICIAL",,0,Neutral
149,"YEN MAY RISE TO 140 TO THE DOLLAR NIKKEIREN SAYS",,0,Neutral
150,"SINGAPORE SECURITIES MARKET CONSIDERING CHANGES",,0,Neutral
151,"NEW DUTCH BULLET STATE LOAN AT 614 PCT DUE 1995",,0,Neutral
152,"BRUSSELS  Ferruzzi says it will pay 630 mln dlrs to CPC International for European mills",,0,Neutral
153,"VIETNAM TO RESETTLE 300000 ON STATE FARMS IN 1987",,0,Neutral
154,"EC MINISTERS FAIL TO END DEADLOCK ON RESEARCH PLAN","fail, deadlock",-2,Negative
155,"MADAGASCAR EXTENDS AMOCO OIL EXPLORATION AGREEMENT",agreement,1,Positive
156,"FERRUZZI DEAL WITH CPC WORTH 630 MLN DLRS",worth,1,Positive
157,"AIRLINES CAN INCREASE HONG KONGMANILA FLIGHTS",,0,Neutral
158,"SWIRE PACIFIC LTD SWPCHKG YEAR 1986",,0,Neutral
159,"BAT Industries 1986 pretax profit 139 billion stg vs 117 billion",,0,Neutral
160,"BAT INDUSTRIES PLC BTIL 1986 YEAR",,0,Neutral
161,"SWIRE PLANS BONUS ISSUE ON HIGHER 1986 PROFITS","issue, bonus",0,Neutral
162,"Japan Trade Ministry asks trade houses exporters to reduce dlr sales sources",,0,Neutral
163,"SRI LANKAN GOVERNMENT TO STOP IMPORTING SUGAR",,0,Neutral
164,"NEW DUTCH SPECIAL ADVANCES TOTAL 42 BILLION",,0,Neutral
165,"DANISH FEBRUARY CONSUMER PRICES FALL 01 PCT",fall,-1,Negative
166,"JAPAN ASKS TRADERS EXPORTERS TO CUT DOLLAR SALES",,0,Neutral
167,"BANK OF JAPAN TO SELL 300 BILLION YEN IN BILLS",,0,Neutral
168,"ABBEY NATIONAL HAS ONE BILLION DLR EURO CD PACT",,0,Neutral
169,"ENSERCH ISSUES 100 MLN DLR CONVERTIBLE BOND",issues,-1,Negative
170,"MIDDLE EAST CURRENCY MARKET SEES KEY CHANGES",,0,Neutral
171,"BELGOLUX TRADE SWINGS INTO JANUARY DEFICIT",,0,Neutral
172,"GUINNESS SEEKS UK INJUNCTION AGAINST SAUNDERS",,0,Neutral
173,"CITIBANK LAUNCHES CURRENCY WARRANTS",,0,Neutral
174,"MALAYSIAS FOREIGN BORROWING HELD AT 1986 LEVEL",,0,Neutral
175,"BASF US PROFITTURNOVER BOOSTED BY ACQUISITIONS",,0,Neutral
176,"SWISS BANK NET FOREIGN ASSESTS UP IN 4TH QUARTER",,0,Neutral
177,"BICC PLC BICCL 1986 YEAR",,0,Neutral
178,"TAIWAN MONEY SUPPLY RISES 4822 PCT IN YEAR",,0,Neutral
179,"PAKISTAN SAYS AFGHAN AIR RAID KILLED ALMOST 150",killed,-1,Negative
180,"CHINA MUST CUT DEMAND CONTINUE REFORMS ZHAO SAYS",reforms,1,Positive
181,"NIPPON STEEL TO REDUCE DIVIDEND",,0,Neutral
182,"BAT SEES STRONG PERFORMANCE FROM ALL SECTORS",strong,1,Positive
183,"CHINAS PREMIER ZHAO SAYS POLITICAL CRISIS OVER","crisis, premier",0,Neutral
184,"TAIWAN SEES ITS INVESTMENT IN US RISING SHARPLY",sharply,-1,Negative
185,"BABCOCK UNIT WINS ORDER FOR VENEZUELAN POWER PLANT",wins,1,Positive
186,"JARDINE TO JOIN CONSORTIUM FOR HK SECOND AIRPORT",,0,Neutral
187,"BABCOCK INTERNATIONAL PLC BABKL YEAR 1986",,0,Neutral
188,"VEBA PLACEMENT CONTINUES FOR SMALL SHAREHOLDERS",,0,Neutral
189,"DELTA GROUP DLTLL YEAR TO JAN 3",,0,Neutral
190,"PLACER PACIFIC SAYS BIG BELL GOLD STUDY EXPANDING",gold,1,Positive
191,"BELGIAN PUBLIC DEBT RISES IN FEBRUARY",debt,-1,Negative
192,"BABCOCK EXPECTS FURTHER PROGRESS IN 1987",progress,1,Positive
193,"EGYPT BUYS 46000 TONNES OF SUNFLOWERSEED OIL",,0,Neutral
194,"CHINA TO TIGHTEN IMPORT CONTROL CUT EXPORT COSTS",,0,Neutral
195,"WEST GERMANS TO MINT COMMUNITY ANNIVERSARY COIN",,0,Neutral
196,"SINGAPORE GDP TO GROW SIX PCT IN FIRST QUARTER",,0,Neutral
197,"CARGILL UK STRIKE TALKS TO RESUME THIS AFTERNOON",strike,-1,Negative
198,"NORWAY ISSUES 60 BILLION YEN EUROBOND",issues,-1,Negative
199,"BROCKWAY AIR TO BUY FIVE SAAB PLANES",,0,Neutral
200,"SAABSCANIA LAUNCHES 100 MLN DLR EUROCP PROGRAM",,0,Neutral
201,"BRITISH COMPOUND FEED PRODUCTION DETAILED",,0,Neutral
202,"KLOECKNER UND COS 1986 PROFIT FALLS ABOUT 20 PCT",falls,-1,Negative
203,"MIXED ASIAN REACTION TO NEW RUBBER PACT",,0,Neutral
204,"CIBAGEIGY PHILLIPS PETROLEUM IN JOINT VENTURE",,0,Neutral
205,"KRUPP TO BUILD SOUTH KOREAN STEEL PLANT",,0,Neutral
206,"SWIRE EXPECTS CONTINUED GROWTH THIS YEAR",,0,Neutral
207,"UNCERTAINTY SURROUNDS EC SUGAR TENDER RESULTTRADE",tender,1,Positive
208,"ABU DHABI TO REOPEN GULF OILFIELD HIT IN 1986 RAID",,0,Neutral
209,"CHAD SAYS TROOPS KILLED 1200 LIBYANS IN BATTLE",killed,-1,Negative
210,"RAINBOW LIFTS PROGRESSIVE STAKE TO 52 PCT",progressive,1,Positive
211,"BANK OF THAILAND PLANS ITS FIRST BOND ISSUE",issue,-1,Negative
212,"FOREIGN BROKERS GET MORE ACCESS TO JAPANESE BONDS",,0,Neutral
213,"YEN MAY RISE TO 140 TO THE DLR NIKKEIREN SAYS",,0,Neutral
214,"JAPAN BUYS MODEST AMOUNT OF DOLLARS DEALERS SAY",modest,1,Positive
215,"BRAZILBANK COMMITTEE AGREE ON CREDIT REQUEST",,0,Neutral
216,"JAPAN DOES NOT INTEND TO CUT DISCOUNT RATESUMITA",,0,Neutral
217,"UK MONEY MARKET FORECAST REVISED TO SHOW SURPLUS",,0,Neutral
218,"BANK OF ENGLAND DOES NOT OPERATE IN MONEY MARKET",,0,Neutral
219,"BANK OF JAPAN TO SELL 300 BILLION YEN IN BILLS",,0,Neutral
220,"EXCHANGE RATES ALMOST WITHIN G6 LEVELS  SUMITA",,0,Neutral
221,"AFGHAN BOMBING TOLL ALMOST 150",toll,-1,Negative
222,"JAPAN ASKS TRADERS EXPORTERS TO CUT DOLLAR SALES",,0,Neutral
223,"SWIRE UNCOMMITTED ON PROPOSED NEW HK AIRPORT",,0,Neutral
224,"CENTRAL BANKS BUY DOLLARS FOR YEN IN LONDON",,0,Neutral
225,"BRAZIL BANKS FAIL TO MAKE BREAKTHROUGH IN DEBT TALKS","fail, breakthrough, debt",-1,Negative
226,"CHINA MUST REFORM IRRATIONAL PRICE SYSTEM ZHAO","reform, irrational",0,Neutral
227,"SEVERE DROUGHT AFFECTS EAST NORTHEAST THAILAND","drought, severe",-2,Negative
228,"OCEAN TRANSPORT AND TRADING PLC OTTLL YEAR 1986",,0,Neutral
229,"DART GROUP RAISES SUPERMARKETS GENERAL SGL BID",,0,Neutral
230,"OLSON INDUSTRIES INC OLSN 4TH QTR NET",,0,Neutral
231,"OLSON OLSN TO HAVE LOSS FROM EGG UNIT SALE",loss,-1,Negative
232,"JEFFERIES JEFG SETS SUPERMARKETS SGL MARKET",,0,Neutral
233,"ED And F MAN TO BUY INTO HONG KONG FIRM",,0,Neutral
234,"ORACLE CORP ORCL 3RD QTR FEB 28 NET",,0,Neutral
235,"DISNEY DIS OPENING EXPERIMENTAL RETAIL OUTLET",,0,Neutral
236,"ENTERRA CORP EN 4TH QTR LOSS",loss,-1,Negative
237,"JOHNSTOWNCONSOLIDATED REALTY TRUST JCT NET",trust,1,Positive
238,"DURIRON DURI COMPLETES VALTEK VALT PURCHASE",,0,Neutral
239,"WASHINGTON FEDERAL SAVINGS WFSL QUARTERLY DIV",savings,1,Positive
240,"SINGER SMF GETS TEXAS AIR TEX CONTRACT",,0,Neutral
241,"ROWLEYSCHER RSCH TO HAVE LOSS FOR YEAR",loss,-1,Negative
242,"DIXONS SAID IT GOT AND ACCEPTED ONLY 20 PCT OF CYCLOPS SHARES IN TENDER",tender,1,Positive
243,"LONDON ON RISE AS TRADING CENTRE IN US DEBT",debt,-1,Negative
244,"MATSUSHITA TO ISSUE 200 BILLION YEN CONVERTIBLE",issue,-1,Negative
245,"DIXONS GETS ONLY 20 PCT OF CYCLOPS CYL IN BID",,0,Neutral
246,"OPPOSITION SAYS UK GOVT GAVE ARMS TO CONTRAS",opposition,-1,Negative
247,"BRAZIL ANNOUNCES NEW PLANNING MINISTER",,0,Neutral
248,"CITIBANK LAUNCHES CURRENCY WARRANTS",,0,Neutral
249,"KAUFMAN AND BROAD HOME CORP KBH 1ST QTR FEB 28",,0,Neutral
250,"METRO CABLE METO TO SELL PARTNERSHIP",,0,Neutral
251,"RENOUF HAS 934 PCT OF BENEQUITY BH UNITS",,0,Neutral
252,"OIL ANALYST SEES PAPUA NEW GUINEA AS GOOD PROSPECT",good,1,Positive
253,"CHINA TO TIGHTEN IMPORT CONTROL CUT EXPORT COST",,0,Neutral
254,"USAIR GROUP INC U SETS QUARTERLY",,0,Neutral
255,"CHINA MUST CUT DEMAND CONTINUE REFORMS ZHAO",reforms,1,Positive
256,"YUGOSLAVIA SEEKS 600 MLN ECU LOAN FROM EC",,0,Neutral
257,"MCFARLAND MCFE TO BUY PETROMINERALS PTRO",,0,Neutral
258,"TIMMINCO ACQUIRES UNIVERSAL ADHESIVES",,0,Neutral
259,"PALOMA PETROLEUM LTD YEAR NET",,0,Neutral
260,"UK MONEY MARKET SURPLUS REVISED TO 250 MLN STG",,0,Neutral
261,"TECHNIMED CORP GETS FDA APPROVAL FOR DRUG",approval,1,Positive
262,"AMERICAN RESOURCE CORP LTD YEAR NET",,0,Neutral
263,"WASTE MANAGEMENT ENDS TENDER OFFER FOR CHEMLAWN","waste, tender",0,Neutral
264,"WEST GERMAN JAN COFFEE IMPORTS DOWN ON YEARAGO",,0,Neutral
265,"ONE VALLEY BANCORP OVWV RAISES QUARTERLY",,0,Neutral
266,"NATIONAL DATA CORP NDTA 3RD QTR FEB 28 NET",,0,Neutral
267,"NVHOMES NVH SETS TWOFORONE SPLIT",split,-1,Negative
268,"AMERICAN RESOURCE SETS RIGHTS OFFERING",,0,Neutral
269,"VANGUARD TECHNOLOGIES INTERNATIONAL INC VTI",,0,Neutral
270,"THOMSON MCKINNON US GOVERNMENT FUND DIVIDEND",,0,Neutral
271,"THOMSON MCKINNON INCOME FUND DIVIDEND",,0,Neutral
272,"OAKRIDGE HOLDINGS INC 2ND QTR DEC 31 NET",,0,Neutral
273,"GENERAL COMPUTER CORP GCCC 3RD QTR FEB 28 NET",,0,Neutral
274,"UK EQUITIES SEEN DUE FOR DOWNWARD CORRECTION",,0,Neutral
275,"ENSERCH ISSUES 100 MLN DLR CONVERTIBLE BOND",issues,-1,Negative
276,"BRIERLEY OFFER FOR PROGRESSIVE STILL VALID",progressive,1,Positive
277,"AVATAR HOLDINGS INC AVTR YEAR NET",,0,Neutral
278,"NORWAY OFFERS 11TH LICENCE ROUND OFFSHORE BLOCKS",,0,Neutral
279,"PERCEPTION TECHNOLOGY PCEP TO TAKE CHARGE",,0,Neutral
280,"INSPECTORATE ISSUES 200 MLN MARK EQUITY EUROBOND",issues,-1,Negative
281,"Bundesbank buys dollars for yen  Frankfurt dealers",,0,Neutral
282,"REUTERS TO BUY I P SHARP OF CANADA",sharp,1,Positive
283,"HORIZON BANK HRZB SETS STOCK SPLIT",split,-1,Negative
284,"WASTE WMX ENDS OFFER FOR CHEMLAWN CHEM",waste,-1,Negative
285,"COREMARK INTERNATIONAL NAMES ACTING CHAIRMAN",,0,Neutral
286,"ACKERLY COMMUNICATIONS INC YEAR LOSS",loss,-1,Negative
287,"UNITED MEDICAL UM TO SELL UNIT",,0,Neutral
288,"REXNORD REX TO CUT STAFF TO 50 FROM 112",,0,Neutral
289,"CCC ACCEPTS BONUS BID ON CATTLE FOR EGYPT  USDA",bonus,1,Positive
290,"INTEL INTC UNIT SELLS NOTES AT 818 PCT",,0,Neutral
291,"SPAINS SOCIALIST TRADE UNION PUSHES FOR WAGE HIKE",,0,Neutral
292,"THATCHER DEFENDS UK OIL POLICY IN SAUDI INTERVIEW",,0,Neutral
293,"MARCH PRICES FELL IN GERMAN STATE ON YEARAGO",fell,-1,Negative
294,"BUNDESBANK BUYS DOLLARS IN FRANKFURT  DEALERS",,0,Neutral
295,"CROSSLAND SAVINGS CRLDACQUIRES WESTERN SAVINGS",savings,2,Positive
296,"GENERAL ELECTRIC GE SELLS RIGHTS TO TECHNIQUE",,0,Neutral
297,"CPC CPC EXPECTS EUROPEAN SALE TO CUT DEBT",debt,-1,Negative
298,"BANK OF ENGLAND DRAINS MONEY MARKET LIQUIDITY",drains,-1,Negative
299,"HK OFFICIAL DEFENDS NONPROSECUTION OF BOND",,0,Neutral
300,"VICORP RESTAURANTS INC VRES 1ST QTR FEB 15 NET",,0,Neutral
301,"COMMERZBANK TO ACQUIRE AND FLOAT LINOTYPE",,0,Neutral
302,"VICORP VRES ENDS SALELEASEBACK DEAL",,0,Neutral
303,"EC EXPORT LICENCES FOR 59000 TONNES WHITE  SUGAR AT REBATE 45678 ECUS  FRENCH TRADERS",,0,Neutral
304,"UK INTERVENTION BOARD DETAILS EC SUGAR SALES",,0,Neutral
305,"PIONEERSTANDARD ELECTRONICS INC PIOS PAYOUT",,0,Neutral
306,"AMSTERDAM EXCHANGE ANNOUNCES MODERNISATION DRIVE",,0,Neutral
307,"HOUSE WAYS AND MEANS CMTE FINISHES WORK ON BILL TO TOUGHEN TRADE LAWS",work,1,Positive
308,"CHEROKEE GROUP CHKE FILES TO OFFER SHARES",,0,Neutral
309,"SOUTH AFRICA PROBLEMS REMAIN DESPITE DEBT PACT","debt, problems",-2,Negative
310,"FABRICENTERS FCA 4TH QTR ENDS JAN 31 NET",,0,Neutral
311,"TSENG LABORATORIES INC TSNG 4TH QTR NET",,0,Neutral
312,"PARK ELECTROCHEMICAL CORP PKE SETS PAYOUT",,0,Neutral
313,"BRAZIL SEAMEN SAY STRIKE NEAR END",strike,-1,Negative
314,"KEY US HOUSE PANEL FINISHES MAJOR TRADE BILL",,0,Neutral
315,"RUSS TOGS INC RTS 4TH QTR JAN 31 NET",,0,Neutral
316,"JOHNSTOWN AMERICAN COS JAC 2ND QTR FEB 28 NET",,0,Neutral
317,"EASCO OFFERS INITIAL SALE OF SECURITIES",,0,Neutral
318,"KEIHIN ELECTRIC EXPRESS ISSUES 150 MLN DLR BOND",issues,-1,Negative
319,"BRISTOL AND WEST BUILDING SOCIETY ISSUES CDS",issues,-1,Negative
320,"WOOLWICH BUILDING SOCIETY ISSUING 50 MLN STG BOND",,0,Neutral
321,"ITT ITT  UNIT FILES FOR PREFERRED STOCK SALE",,0,Neutral
322,"CPC EXPECTS EUROPEAN SALE TO CUT DEBT",debt,-1,Negative
323,"THERMO PROCESS TPSI ACQUISITION TERMINATED",,0,Neutral
